run_index,Latency,Throughput,gc_collection_count,gc_collection_time,jvm_loaded_class_count,jvm_total_loaded_class_count,last_gc_info_duration,memory_heap_usage_used,memory_non_heap_usage_used,network_request_FetchConsumer_ResponseSendTimeMs,network_request_FetchConsumer_TotalTimeMs,network_request_Produce_ResponseSendTimeMs,network_request_Produce_TemporaryMemoryBytes,network_request_Produce_TotalTimeMs,network_socket_FetchConsumer_NetworkProcessorAvgIdlePercent,network_socket_FetchConsumer_RequestHandlerAvgIdlePercent,os_committed_vm_size,os_open_fd_count,os_process_cpu_load,os_process_cpu_time,os_system_cpu_load,server_broker_topics_AllTopicsBytesIn,server_broker_topics_AllTopicsBytesOut,server_broker_topics_AllTopicsMessagesIn,server_broker_topics_TotalFetchRequestsPerSec,server_broker_topics_TotalProduceRequestsPerSec,server_purgatory_NumDelayedFetchRequests,threading_thread_count
806,1.17,0.04,6.8,68.6,6994.67,7120.2,14.35,182026882.93,71846480.24,55328.0,55324.0,8248.0,,8247.5,0.89,0.99,7353366878.64,190.11,0.02,13843000000.0,0.57,16700.98,793704.29,17.02,87.01,16.94,26.91,68.54
807,1.46,0.02,5.8,61.9,7005.12,7130.9,13.68,185024684.56,71218076.52,64646.0,64640.0,16467.0,990.99,16465.0,0.89,0.99,7353640814.16,187.4,0.02,10427000000.0,0.45,6617.19,619177.68,15.13,89.6,15.05,26.33,68.32
808,3.57,0.02,6.7,61.6,6961.6,7128.6,14.18,180380858.29,71151619.45,54130.5,54126.5,5297.0,1416.85,5295.5,0.84,0.99,7339079044.59,187.66,0.02,13135000000.0,0.52,3700.78,164297.44,14.91,75.11,10.08,26.7,68.21
809,2.49,0.03,6.6,58.3,7025.59,7156.0,15.63,183403809.78,71772786.87,57535.5,57532.0,5504.5,1427.75,5504.5,0.9,0.99,7354529193.12,190.35,0.02,13609000000.0,0.53,4673.75,228294.73,14.11,81.11,9.51,24.36,68.66
810,1.49,0.02,6.5,63.7,7011.9,7137.0,14.84,179860524.13,71161328.44,61933.0,61930.0,16103.0,990.98,16103.0,0.89,0.99,7354493868.22,187.33,0.02,10285000000.0,0.45,5931.16,603720.74,13.29,84.81,13.22,26.78,68.39
811,1.61,1.54,6.7,67.6,6986.58,7128.5,12.38,181976102.49,71627046.08,61830.5,61828.0,4640.5,,4639.5,0.88,0.99,7350537672.86,189.85,0.02,14013000000.0,0.55,15204.73,703852.55,15.93,89.94,8.94,26.76,68.49
812,1.22,1.54,6.4,70.1,6997.14,7121.1,14.4,186252083.28,71734566.06,60340.0,60333.0,5544.0,,5541.5,0.89,0.99,7354105157.82,190.16,0.02,14213000000.0,0.57,14612.04,690290.57,15.21,83.42,10.24,27.38,68.54
813,2.16,0.03,6.8,71.1,7013.63,7147.8,14.55,202662331.99,71863403.62,56235.0,56231.5,8290.0,990.99,8289.5,0.89,0.99,7354225071.32,190.32,0.02,13867000000.0,0.57,7106.85,320944.5,15.89,80.79,15.82,25.42,68.63
814,2.68,0.03,6.9,74.6,6964.39,7137.5,15.99,187765445.86,71283180.49,57366.5,57361.0,5580.5,1436.16,5580.5,0.86,0.99,7342993426.38,188.95,0.02,13802000000.0,0.53,5346.91,236406.41,15.89,80.99,10.69,24.52,68.31
815,1.6,0.04,6.4,58.9,7011.42,7136.7,13.11,185338499.72,72020952.56,56436.5,56430.5,8410.0,,8409.5,0.89,0.99,7354933198.35,190.17,0.02,14376000000.0,0.58,15677.28,726537.07,15.99,81.33,15.92,24.42,68.6
816,2.22,0.03,6.2,59.0,6969.88,7120.6,13.19,191211948.7,71566826.51,54838.5,54837.0,8241.0,994.04,8241.0,0.88,0.99,7348067090.74,190.13,0.02,13884000000.0,0.54,7368.69,338951.17,16.85,83.34,16.75,26.33,68.42
817,2.98,0.03,6.8,68.8,7007.0,7132.2,10.8,190722043.99,71686485.58,55873.0,55868.5,5399.5,1432.71,5399.5,0.89,0.99,7354820688.68,191.07,0.02,13275000000.0,0.53,5323.36,230228.34,15.81,79.87,10.65,25.11,68.81
818,1.07,0.04,6.6,63.2,7004.03,7131.3,13.76,184632982.61,71997395.92,55366.0,55362.5,8090.0,,8089.0,0.89,0.99,7354167699.39,190.59,0.02,13912000000.0,0.56,15676.28,744904.01,15.99,84.12,15.92,25.25,68.6
819,2.56,0.03,6.9,67.5,6959.83,7114.4,15.06,190810109.67,71298545.17,57737.0,57732.0,5557.5,1434.96,5557.5,0.87,0.99,7346290819.28,189.26,0.02,13473000000.0,0.51,5266.98,234105.28,15.65,80.58,10.53,26.88,68.4
820,3.57,0.02,6.7,67.1,7009.8,7135.3,18.56,181804220.95,71584793.76,56783.0,56778.5,4103.0,1900.49,4103.0,0.88,0.99,7354835120.87,190.78,0.02,13018000000.0,0.51,4491.19,189765.89,16.31,84.84,8.27,25.2,68.74
821,1.24,0.04,6.7,60.9,7015.43,7149.4,10.31,180662313.32,71926341.21,53943.5,53940.5,3974.0,,3974.0,0.89,0.99,7354082555.35,190.89,0.02,13122000000.0,0.53,14193.83,750415.65,14.92,85.0,7.57,28.48,68.62
822,2.92,0.03,7.1,79.9,7016.22,7145.2,17.27,185525244.45,71743337.64,58690.5,58685.5,5558.0,1430.31,5557.5,0.89,0.99,7354936493.77,190.3,0.02,13475000000.0,0.53,4715.59,228785.39,14.0,82.22,9.43,26.14,68.67
823,2.0,0.03,6.8,64.6,7012.15,7144.9,14.64,181251166.32,71901540.05,56288.0,56284.0,8159.5,991.16,8159.5,0.89,0.99,7354608742.4,190.04,0.02,13548000000.0,0.56,6456.78,330433.37,14.75,83.96,14.68,26.67,68.66
824,1.16,0.04,6.6,57.3,7013.02,7138.1,11.21,181937823.77,71991327.76,55640.0,55637.5,6558.5,,6558.0,0.89,0.99,7354278741.33,190.13,0.02,13805000000.0,0.56,14731.14,776769.14,15.19,87.5,12.36,26.02,68.65
825,1.25,1.54,6.5,63.9,7013.16,7142.9,12.71,189426723.02,71896894.03,59279.0,59272.0,8134.5,,8134.5,0.89,0.99,7354147898.96,190.2,0.02,13933000000.0,0.58,13347.09,703826.86,13.62,82.39,13.54,24.46,68.62
826,1.16,0.04,6.3,60.0,6943.36,7103.4,12.5,191436480.27,71428329.14,58292.0,58286.0,5554.0,,5553.5,0.87,0.99,7344025610.5,188.68,0.02,13925000000.0,0.53,15625.41,738227.12,16.26,87.48,10.96,25.62,68.27
827,2.17,0.03,6.6,73.9,7012.37,7143.4,17.83,180599309.92,71729300.97,51376.5,51370.0,7830.0,991.51,7830.0,0.89,0.99,7354013221.24,190.1,0.02,13331000000.0,0.6,6851.32,313560.71,15.66,75.1,15.58,24.98,68.59
828,2.37,0.03,6.2,69.7,6980.39,7111.5,19.33,191864316.9,71621712.55,54669.5,54664.5,7393.0,1079.89,7393.0,0.89,0.99,7351005621.53,189.96,0.02,13899000000.0,0.57,6667.2,299078.06,16.3,76.06,14.8,25.72,68.56
829,2.02,0.03,6.9,77.9,6988.88,7134.5,16.54,193581139.24,71646217.9,54959.0,54953.0,8073.5,992.98,8073.5,0.89,0.99,7350509971.39,189.68,0.02,13857000000.0,0.55,7245.5,334121.67,16.22,81.85,16.13,27.79,68.41
830,1.28,0.04,6.6,64.6,7000.32,7126.0,14.99,183316819.11,71887828.11,56253.5,56242.0,4102.0,,4102.0,0.89,0.99,7353895088.87,191.23,0.02,13822000000.0,0.54,15297.27,717103.4,16.09,85.18,8.16,25.91,68.61
831,3.36,0.02,6.7,71.4,6995.26,7127.8,23.01,185222568.47,71599317.58,54815.0,54810.0,4097.5,1867.47,4097.5,0.89,0.99,7352580154.96,190.29,0.02,13232000000.0,0.53,3042.21,143827.95,14.74,81.39,7.57,28.09,68.71
832,2.02,0.03,7.3,71.2,7011.71,7137.1,13.79,185466668.93,71890696.86,55761.0,55756.0,8157.5,990.94,8156.5,0.9,0.99,7354535324.7,190.37,0.02,13783000000.0,0.56,7126.67,328511.09,15.94,81.57,15.87,26.65,68.61
833,1.13,0.04,6.5,73.1,7000.04,7127.0,15.87,184395131.66,71950536.05,55933.0,55923.5,8171.0,,8170.0,0.89,0.99,7354337019.35,190.3,0.02,14211000000.0,0.58,16329.41,771844.68,16.65,87.9,16.57,24.68,68.59
